coin,symbol,candle_open_time_utc,candle_close_time_utc,open,high,low,close,volume,quote_volume,trade_count,source,source_interval,source_symbol,is_complete,ingested_at_utc,date
Dogecoin,DOGEUSDT,2025-12-26T00:00:00Z,2025-12-26T23:59:59Z,0.12364,0.12752,0.12064,0.12211,719882140.0,89239314.19039,881797,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2025-12-27T00:00:00Z,2025-12-27T23:59:59Z,0.12211,0.12492,0.12193,0.12435,242221247.0,29801690.22024,300811,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2025-12-28T00:00:00Z,2025-12-28T23:59:59Z,0.12435,0.1249,0.12277,0.12393,221394199.0,27434653.703,296777,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2025-12-29T00:00:00Z,2025-12-29T23:59:59Z,0.12394,0.12805,0.12228,0.12288,673526124.0,84263156.10882,819860,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2025-12-30T00:00:00Z,2025-12-30T23:59:59Z,0.12288,0.12537,0.1224,0.12336,627500697.0,77819799.98121,536882,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2025-12-31T00:00:00Z,2025-12-31T23:59:59Z,0.12335,0.12381,0.11612,0.11747,670335608.0,80135267.84825,564325,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2026-01-01T00:00:00Z,2026-01-01T23:59:59Z,0.11747,0.1275,0.11742,0.12683,886565713.0,109222807.65797,732788,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2026-01-02T00:00:00Z,2026-01-02T23:59:59Z,0.12682,0.14498,0.12592,0.14188,2240031844.0,301880200.6481,2227286,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2026-01-03T00:00:00Z,2026-01-03T23:59:59Z,0.14187,0.14451,0.13914,0.14315,1027895793.0,146034233.39091,1049478,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2026-01-04T00:00:00Z,2026-01-04T23:59:59Z,0.14314,0.15418,0.14278,0.14953,1371022860.0,206060792.29788,1852562,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2026-01-05T00:00:00Z,2026-01-05T23:59:59Z,0.14952,0.1545,0.14581,0.15171,1115045910.0,167321227.9625,1820724,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2026-01-06T00:00:00Z,2026-01-06T23:59:59Z,0.15171,0.15656,0.14352,0.15055,1272318747.0,190733595.84774,1981622,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2026-01-07T00:00:00Z,2026-01-07T23:59:59Z,0.15055,0.15405,0.14487,0.14642,797102416.0,118316149.7839,1389926,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2026-01-08T00:00:00Z,2026-01-08T23:59:59Z,0.14642,0.14777,0.138,0.14194,959509517.0,136352793.37517,1484439,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2026-01-09T00:00:00Z,2026-01-09T23:59:59Z,0.14195,0.14462,0.13825,0.14071,703610941.0,99368656.28199,1199113,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2026-01-10T00:00:00Z,2026-01-10T23:59:59Z,0.1407,0.14072,0.13904,0.13965,219649749.0,30755979.35387,328469,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2026-01-11T00:00:00Z,2026-01-11T23:59:59Z,0.13965,0.1412,0.13585,0.13801,419409403.0,58090364.37931,625549,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2026-01-12T00:00:00Z,2026-01-12T23:59:59Z,0.13801,0.14237,0.13492,0.13662,721042880.0,99590291.64411,1330250,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2026-01-13T00:00:00Z,2026-01-13T23:59:59Z,0.13661,0.15095,0.13626,0.14828,962128224.0,137700404.73251,1316054,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2026-01-14T00:00:00Z,2026-01-14T23:59:59Z,0.14828,0.15133,0.14562,0.14718,873212059.0,129478917.44994,1283982,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2026-01-15T00:00:00Z,2026-01-15T23:59:59Z,0.14719,0.14721,0.13881,0.14004,785586188.0,111954090.23683,1089532,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
Dogecoin,DOGEUSDT,2026-01-16T00:00:00Z,2026-01-16T23:59:59Z,0.14005,0.14045,0.1351,0.13813,990841345.0,136644568.9314,840282,Binance Spot public market-data REST API,1d,DOGEUSDT,1,2026-04-05T13:07:07.153315+00:00,
